exrave chart file v1

Title Dear My Puppy
Artist Shiha

== BPMData ==
InitalBPM 170
Offset 0.0


== NoteData ==
NormalNote beat:0 face:3 key:2
NormalNote beat:0 face:2 key:1
NormalNote beat:1 face:3 key:1
NormalNote beat:1 face:2 key:2
NormalNote beat:2 face:3 key:2
NormalNote beat:2 face:2 key:1
NormalNote beat:3.5 face:2 key:1
NormalNote beat:4.5 face:2 key:2
NormalNote beat:5.5 face:3 key:1
NormalNote beat:7 face:3 key:2
NormalNote beat:8 face:3 key:2
NormalNote beat:9 face:3 key:1
NormalNote beat:10 face:2 key:2
NormalNote beat:11.5 face:2 key:1
NormalNote beat:12.5 face:2 key:2
NormalNote beat:13.5 face:3 key:1
NormalNote beat:14.5 face:3 key:2
NormalNote beat:15 face:3 key:1
NormalNote beat:15.5 face:3 key:2
NormalNote beat:16 face:3 key:2
NormalNote beat:17 face:3 key:1
NormalNote beat:18 face:2 key:2
NormalNote beat:19.5 face:2 key:1
NormalNote beat:20.5 face:2 key:2
NormalNote beat:21.5 face:3 key:1
NormalNote beat:23 face:3 key:2
NormalNote beat:24 face:3 key:2
NormalNote beat:25 face:3 key:1
NormalNote beat:26 face:2 key:2
NormalNote beat:27.5 face:2 key:2
NormalNote beat:28.5 face:2 key:1
NormalNote beat:29.5 face:2 key:2
NormalNote beat:30.5 face:3 key:1
NormalNote beat:31 face:3 key:2
NormalNote beat:32 face:3 key:2
NormalNote beat:32 face:2 key:1
NormalNote beat:33 face:3 key:1
NormalNote beat:33 face:1 key:2
NormalNote beat:34 face:2 key:2
NormalNote beat:34 face:1 key:1
NormalNote beat:35.5 face:2 key:1
NormalNote beat:35.5 face:3 key:1
NormalNote beat:36 face:2 key:2
NormalNote beat:36.5 face:3 key:1
NormalNote beat:36.5 face:2 key:1
NormalNote beat:37.5 face:3 key:2
NormalNote beat:37.5 face:2 key:2
NormalNote beat:38.5 face:3 key:1
NormalNote beat:38.5 face:2 key:2
NormalNote beat:40 face:3 key:2
NormalNote beat:40 face:3 key:1
NormalNote beat:41 face:3 key:1
NormalNote beat:41 face:2 key:2
NormalNote beat:42 face:2 key:2
NormalNote beat:42 face:2 key:1
NormalNote beat:43.5 face:2 key:2
NormalNote beat:44.5 face:3 key:1
NormalNote beat:45.5 face:2 key:2
NormalNote beat:46.5 face:3 key:1
NormalNote beat:48 face:3 key:2
NormalNote beat:48 face:3 key:1
NormalNote beat:47 face:2 key:2
NormalNote beat:47.5 face:3 key:2
NormalNote beat:49 face:3 key:1
NormalNote beat:50 face:2 key:2
NormalNote beat:51.5 face:2 key:1
NormalNote beat:52.5 face:2 key:2
NormalNote beat:51.5 face:3 key:1
NormalNote beat:52.5 face:3 key:2
NormalNote beat:53.5 face:3 key:2
NormalNote beat:53.5 face:3 key:1
NormalNote beat:55 face:3 key:2
NormalNote beat:55 face:2 key:1
NormalNote beat:54.5 face:3 key:1
NormalNote beat:56 face:3 key:2
NormalNote beat:57 face:3 key:1
NormalNote beat:58 face:2 key:2
NormalNote beat:59.5 face:2 key:2
NormalNote beat:60.5 face:2 key:1
NormalNote beat:61.5 face:2 key:2
NormalNote beat:62 face:3 key:1
NormalNote beat:62.5 face:2 key:2
NormalNote beat:63 face:3 key:2
NormalNote beat:64 face:3 key:2
NormalNote beat:64 face:3 key:1
NormalNote beat:65 face:3 key:2
NormalNote beat:65 face:2 key:2
NormalNote beat:66 face:3 key:2
NormalNote beat:66 face:2 key:1
NormalNote beat:67.5 face:2 key:2
NormalNote beat:68 face:3 key:1
NormalNote beat:68.5 face:2 key:2
NormalNote beat:68.5 face:3 key:2
NormalNote beat:69.5 face:3 key:2
NormalNote beat:69.5 face:3 key:1
NormalNote beat:70.5 face:3 key:2
NormalNote beat:70.5 face:2 key:2
NormalNote beat:8 face:2 key:1
NormalNote beat:16 face:2 key:1
NormalNote beat:24 face:2 key:1
NormalNote beat:28 face:3 key:1
NormalNote beat:71 face:2 key:1
NormalNote beat:72 face:3 key:2
NormalNote beat:72 face:3 key:1
NormalNote beat:73 face:3 key:1
NormalNote beat:73 face:2 key:2
NormalNote beat:74 face:2 key:2
NormalNote beat:74 face:2 key:1
NormalNote beat:75.5 face:2 key:2
NormalNote beat:75.5 face:3 key:2
NormalNote beat:76 face:3 key:1
NormalNote beat:76.5 face:3 key:2
NormalNote beat:76.5 face:2 key:2
NormalNote beat:77.5 face:2 key:2
NormalNote beat:78.5 face:3 key:1
NormalNote beat:79 face:2 key:2
NormalNote beat:83.5 face:2 key:1
NormalNote beat:84.5 face:2 key:2
NormalNote beat:85.5 face:3 key:1
NormalNote beat:87 face:3 key:2
NormalNote beat:88 face:3 key:2
NormalNote beat:89 face:3 key:1
NormalNote beat:90 face:2 key:2
NormalNote beat:91.5 face:2 key:2
