exrave chart file v1

Title Dear My Puppy
Artist Shiha

== BPMData ==
InitalBPM 170
Offset 0.105


== NoteData ==
NormalNote beat:0 face:3 key:2
NormalNote beat:1 face:3 key:1
NormalNote beat:2 face:3 key:2
NormalNote beat:4 face:3 key:1
NormalNote beat:5 face:3 key:2
NormalNote beat:6 face:3 key:1
NormalNote beat:7 face:3 key:2
NormalNote beat:9 face:3 key:1
NormalNote beat:10 face:3 key:2
NormalNote beat:13 face:3 key:1
NormalNote beat:14 face:3 key:2
NormalNote beat:15 face:3 key:1
NormalNote beat:17 face:3 key:2
NormalNote beat:18 face:3 key:1
NormalNote beat:21 face:3 key:1
NormalNote beat:22 face:3 key:2
NormalNote beat:23 face:3 key:1
NormalNote beat:8 face:3 key:2
NormalNote beat:12 face:3 key:2
NormalNote beat:16 face:3 key:2
NormalNote beat:25 face:3 key:2
NormalNote beat:26 face:3 key:1
NormalNote beat:29 face:3 key:1
NormalNote beat:30 face:2 key:2
NormalNote beat:31 face:3 key:1
NormalNote beat:32 face:3 key:2
NormalNote beat:24 face:3 key:2
NormalNote beat:24 face:3 key:1
NormalNote beat:28 face:3 key:2
NormalNote beat:33 face:3 key:2
NormalNote beat:33 face:3 key:1
NormalNote beat:34 face:3 key:1
NormalNote beat:36 face:3 key:1
NormalNote beat:37 face:3 key:2
NormalNote beat:38 face:3 key:1
NormalNote beat:38.5 face:3 key:2
NormalNote beat:39 face:3 key:1
NormalNote beat:39.5 face:3 key:2
NormalNote beat:40 face:3 key:1
NormalNote beat:40 face:3 key:2
NormalNote beat:41 face:3 key:1
NormalNote beat:42 face:2 key:2
NormalNote beat:44 face:3 key:1
NormalNote beat:45.5 face:3 key:2
NormalNote beat:45 face:3 key:2
NormalNote beat:20 face:3 key:2
NormalNote beat:46 face:3 key:2
NormalNote beat:46 face:3 key:1
NormalNote beat:47 face:2 key:2
NormalNote beat:48 face:3 key:1
NormalNote beat:49 face:3 key:2
NormalNote beat:43 face:3 key:1
NormalNote beat:50 face:3 key:1
NormalNote beat:50 face:3 key:2
NormalNote beat:51 face:3 key:1
SlideNote beat:51.5 face:3 pos:1.985186
SlideNote beat:52 face:3 pos:0.1739137
SlideNote beat:52.5 face:3 pos:-0.8316833
NormalNote beat:53 face:3 key:2
NormalNote beat:54 face:3 key:1
NormalNote beat:55 face:3 key:2
NormalNote beat:56 face:4 key:1
NormalNote beat:57 face:3 key:2
NormalNote beat:58 face:3 key:1
NormalNote beat:60 face:3 key:2
NormalNote beat:61 face:3 key:1
NormalNote beat:62 face:3 key:2
NormalNote beat:63 face:4 key:1
NormalNote beat:64 face:4 key:2
NormalNote beat:65 face:3 key:2
NormalNote beat:65 face:3 key:1
NormalNote beat:66 face:2 key:2
NormalNote beat:66 face:2 key:1
NormalNote beat:68 face:3 key:1
NormalNote beat:69 face:3 key:2
NormalNote beat:70 face:3 key:1
SlideNote beat:70.5 face:3 pos:0.06060755
SlideNote beat:71 face:3 pos:-1.935485
NormalNote beat:72 face:3 key:2
NormalNote beat:72 face:3 key:1
NormalNote beat:73 face:2 key:2
NormalNote beat:74 face:2 key:1
NormalNote beat:76 face:3 key:1
NormalNote beat:77 face:3 key:2
NormalNote beat:78 face:3 key:1
SlideNote beat:78.5 face:3 pos:0.9863033
SlideNote beat:79 face:3 pos:-0.6857136
SlideNote beat:79.5 face:3 pos:0.7961161
NormalNote beat:80 face:3 key:2
NormalNote beat:80 face:3 key:1
NormalNote beat:81 face:3 key:1
NormalNote beat:82 face:2 key:2
NormalNote beat:84 face:3 key:2
NormalNote beat:85 face:3 key:1
NormalNote beat:85.5 face:3 key:2
NormalNote beat:86 face:3 key:1
NormalNote beat:87 face:3 key:2
NormalNote beat:87 face:3 key:1
NormalNote beat:89 face:3 key:2
NormalNote beat:89 face:3 key:1
NormalNote beat:90 face:2 key:2
NormalNote beat:91 face:3 key:1
NormalNote beat:92 face:2 key:2
NormalNote beat:93 face:3 key:1
SlideNote beat:93.25 face:3 pos:0.1481479
SlideNote beat:93.5 face:3 pos:-0.9108911
SlideNote beat:93.75 face:3 pos:-1.875
SlideNote beat:94.5 face:3 pos:1.145097
SlideNote beat:94.75 face:3 pos:-0.669683
SlideNote beat:95 face:3 pos:-2.111675
NormalNote beat:96 face:3 key:2
NormalNote beat:96 face:3 key:1
NormalNote beat:97 face:3 key:1
NormalNote beat:97 face:4 key:1
NormalNote beat:98 face:4 key:2
NormalNote beat:98 face:3 key:2
NormalNote beat:100 face:3 key:1
NormalNote beat:101 face:3 key:2
NormalNote beat:102 face:3 key:1
NormalNote beat:103 face:3 key:1
NormalNote beat:104 face:3 key:2
NormalNote beat:105 face:3 key:1
NormalNote beat:106 face:2 key:2
NormalNote beat:108 face:3 key:1
NormalNote beat:109 face:3 key:2
