exrave chart file v1

Title Empty Galaxy
Artist Calixer

== BPMData ==
InitalBPM 200
Offset 0

Speed 0.5 191/1
Speed 1 248/1

== NoteData ==
NormalNote beat:12 face:2 key:1
NormalNote beat:12.5 face:3 key:2
NormalNote beat:12.5 face:2 key:2
NormalNote beat:13 face:3 key:1
NormalNote beat:16 face:3 key:2
NormalNote beat:17 face:3 key:2
NormalNote beat:18 face:3 key:2
NormalNote beat:19 face:3 key:2
NormalNote beat:16 face:2 key:1
NormalNote beat:16.5 face:2 key:2
NormalNote beat:17 face:2 key:1
NormalNote beat:17.5 face:3 key:1
NormalNote beat:17.75 face:2 key:2
NormalNote beat:18 face:2 key:1
NormalNote beat:18.5 face:3 key:1
NormalNote beat:19 face:2 key:2
NormalNote beat:19.5 face:3 key:1
NormalNote beat:20.5 face:3 key:2
NormalNote beat:22.5 face:3 key:1
NormalNote beat:23.5 face:3 key:1
NormalNote beat:24.5 face:3 key:2
NormalNote beat:25 face:3 key:1
NormalNote beat:25.5 face:3 key:2
NormalNote beat:26 face:3 key:1
NormalNote beat:27 face:3 key:2
NormalNote beat:27 face:3 key:1
NormalNote beat:27.5 face:2 key:2
NormalNote beat:27.5 face:2 key:1
NormalNote beat:28.5 face:3 key:2
NormalNote beat:28.5 face:3 key:1
NormalNote beat:29 face:2 key:2
NormalNote beat:29.5 face:3 key:1
NormalNote beat:30 face:2 key:1
NormalNote beat:30.5 face:3 key:1
NormalNote beat:30.5 face:2 key:2
NormalNote beat:31 face:2 key:1
NormalNote beat:31.75 face:3 key:2
NormalNote beat:32.5 face:3 key:2
NormalNote beat:33 face:2 key:1
NormalNote beat:33.5 face:3 key:2
NormalNote beat:34 face:2 key:2
NormalNote beat:34.5 face:3 key:1
NormalNote beat:35 face:3 key:2
NormalNote beat:35.5 face:3 key:1
NormalNote beat:36.5 face:3 key:2
NormalNote beat:36.5 face:3 key:1
NormalNote beat:38.5 face:3 key:2
NormalNote beat:37 face:2 key:2
NormalNote beat:37.5 face:3 key:2
NormalNote beat:39 face:2 key:2
NormalNote beat:39.5 face:3 key:2
NormalNote beat:40.5 face:3 key:2
NormalNote beat:41 face:2 key:2
NormalNote beat:41.5 face:3 key:2
NormalNote beat:42 face:3 key:1
NormalNote beat:42.5 face:3 key:2
NormalNote beat:43 face:3 key:1
NormalNote beat:43.5 face:3 key:2
NormalNote beat:45 face:2 key:1
NormalNote beat:45.5 face:2 key:2
NormalNote beat:46.5 face:3 key:1
NormalNote beat:53.5 face:3 key:2
NormalNote beat:54.5 face:3 key:2
NormalNote beat:56.5 face:3 key:2
NormalNote beat:56.5 face:3 key:1
NormalNote beat:57 face:2 key:1
NormalNote beat:57.5 face:2 key:2
NormalNote beat:58 face:3 key:1
NormalNote beat:58.5 face:2 key:1
NormalNote beat:58.5 face:3 key:2
NormalNote beat:59 face:2 key:2
NormalNote beat:59 face:3 key:2
NormalNote beat:59.5 face:3 key:1
NormalNote beat:59.5 face:2 key:1
NormalNote beat:60.5 face:3 key:2
NormalNote beat:61 face:2 key:2
NormalNote beat:61.5 face:3 key:2
NormalNote beat:64.5 face:3 key:2
NormalNote beat:65 face:2 key:2
NormalNote beat:65.5 face:3 key:2
NormalNote beat:67 face:3 key:1
NormalNote beat:67.5 face:2 key:2
NormalNote beat:68.5 face:3 key:1
NormalNote beat:68.5 face:2 key:2
NormalNote beat:69 face:2 key:1
NormalNote beat:69 face:3 key:2
NormalNote beat:69.5 face:3 key:1
NormalNote beat:69.5 face:2 key:2
NormalNote beat:70 face:3 key:1
NormalNote beat:70.5 face:3 key:2
NormalNote beat:70.5 face:2 key:2
NormalNote beat:72.5 face:3 key:2
NormalNote beat:72.5 face:2 key:2
NormalNote beat:73 face:3 key:1
NormalNote beat:73 face:2 key:1
NormalNote beat:73.5 face:3 key:2
NormalNote beat:73.5 face:2 key:2
NormalNote beat:74 face:3 key:2
NormalNote beat:74.5 face:3 key:2
NormalNote beat:74.5 face:3 key:1
NormalNote beat:75 face:2 key:2
NormalNote beat:75 face:3 key:1
NormalNote beat:75.5 face:2 key:2
NormalNote beat:75.5 face:2 key:1
NormalNote beat:76.5 face:3 key:2
NormalNote beat:77 face:2 key:2
NormalNote beat:77.5 face:3 key:2
NormalNote beat:78 face:2 key:1
NormalNote beat:78.5 face:2 key:2
NormalNote beat:79 face:3 key:2
NormalNote beat:92 face:2 key:2
NormalNote beat:92.5 face:2 key:1
NormalNote beat:93 face:3 key:1
NormalNote beat:93.5 face:2 key:1
NormalNote beat:94 face:2 key:1
NormalNote beat:95 face:3 key:1
NormalNote beat:95.5 face:2 key:2
NormalNote beat:95.5 face:2 key:1
NormalNote beat:96.5 face:3 key:1
NormalNote beat:97 face:2 key:2
NormalNote beat:97.5 face:3 key:1
NormalNote beat:98 face:2 key:2
NormalNote beat:98.5 face:3 key:1
NormalNote beat:99.5 face:3 key:1
NormalNote beat:100 face:2 key:2
NormalNote beat:100.5 face:3 key:1
NormalNote beat:32.5 face:3 key:1
NormalNote beat:34 face:2 key:1
NormalNote beat:35 face:2 key:2
NormalNote beat:37.5 face:2 key:1
NormalNote beat:38 face:3 key:1
NormalNote beat:47 face:3 key:2
NormalNote beat:47.5 face:2 key:2
NormalNote beat:48.5 face:2 key:1
NormalNote beat:97.5 face:3 key:2
NormalNote beat:98.5 face:2 key:1
NormalNote beat:99.5 face:2 key:1
NormalNote beat:100 face:3 key:2
NormalNote beat:100.5 face:2 key:1
NormalNote beat:101 face:3 key:2
NormalNote beat:101 face:2 key:2
NormalNote beat:101.5 face:3 key:1
NormalNote beat:101.5 face:2 key:1
NormalNote beat:102.5 face:3 key:1
NormalNote beat:102.5 face:2 key:2
NormalNote beat:103 face:3 key:2
NormalNote beat:103.5 face:3 key:1
NormalNote beat:103.5 face:2 key:2
NormalNote beat:105 face:4 key:1
NormalNote beat:105 face:1 key:2
NormalNote beat:105.5 face:4 key:2
NormalNote beat:105.5 face:1 key:1
NormalNote beat:106 face:4 key:1
NormalNote beat:106 face:1 key:2
NormalNote beat:106.5 face:4 key:2
NormalNote beat:107.5 face:4 key:1
NormalNote beat:108 face:4 key:2
NormalNote beat:108.5 face:4 key:1
NormalNote beat:109 face:3 key:2
NormalNote beat:109.5 face:3 key:1
NormalNote beat:110.5 face:2 key:2
NormalNote beat:111 face:1 key:2
NormalNote beat:112.5 face:3 key:2
NormalNote beat:112.5 face:2 key:1
NormalNote beat:113 face:3 key:1
NormalNote beat:113 face:2 key:2
NormalNote beat:113.5 face:3 key:2
NormalNote beat:113.5 face:2 key:1
NormalNote beat:114 face:3 key:1
NormalNote beat:114 face:2 key:1
NormalNote beat:114.5 face:3 key:2
NormalNote beat:114.5 face:2 key:2
NormalNote beat:115.5 face:3 key:2
NormalNote beat:115.5 face:2 key:2
NormalNote beat:116 face:3 key:1
NormalNote beat:116 face:2 key:1
NormalNote beat:116.5 face:2 key:2
NormalNote beat:117 face:2 key:1
NormalNote beat:117.5 face:2 key:2
NormalNote beat:118.5 face:3 key:2
NormalNote beat:118.5 face:2 key:2
NormalNote beat:119 face:3 key:1
NormalNote beat:119 face:2 key:1
NormalNote beat:119.5 face:3 key:2
NormalNote beat:119.5 face:2 key:2
NormalNote beat:121 face:4 key:2
NormalNote beat:121 face:1 key:1
NormalNote beat:122 face:4 key:2
NormalNote beat:122 face:1 key:2
NormalNote beat:122.5 face:4 key:1
NormalNote beat:122.5 face:1 key:1
NormalNote beat:126.5 face:4 key:1
NormalNote beat:127.5 face:1 key:2
NormalNote beat:127.5 face:2 key:2
NormalNote beat:131.5 face:3 key:1
NormalNote beat:132 face:3 key:2
NormalNote beat:132.5 face:3 key:2
NormalNote beat:133 face:3 key:2
NormalNote beat:134 face:3 key:1
NormalNote beat:134.5 face:3 key:1
NormalNote beat:135 face:3 key:1
NormalNote beat:144.5 face:3 key:1
NormalNote beat:144.5 face:2 key:2
NormalNote beat:145 face:3 key:2
NormalNote beat:145 face:2 key:1
NormalNote beat:146.5 face:2 key:1
NormalNote beat:146.5 face:3 key:1
NormalNote beat:147.5 face:3 key:1
NormalNote beat:147.5 face:2 key:1
NormalNote beat:148 face:3 key:1
NormalNote beat:148.5 face:3 key:1
NormalNote beat:149 face:3 key:2
NormalNote beat:149.5 face:3 key:2
NormalNote beat:150 face:3 key:1
NormalNote beat:150.5 face:3 key:1
NormalNote beat:151 face:3 key:2
NormalNote beat:160.5 face:3 key:1
NormalNote beat:161 face:3 key:2
NormalNote beat:161.5 face:3 key:1
NormalNote beat:162 face:2 key:2
NormalNote beat:162.5 face:2 key:1
NormalNote beat:163 face:2 key:1
NormalNote beat:163.5 face:2 key:2
NormalNote beat:63 face:2 key:1
NormalNote beat:63.25 face:2 key:2
NormalNote beat:63.5 face:3 key:1
NormalNote beat:63.75 face:3 key:2
NormalNote beat:124.5 face:4 key:1
NormalNote beat:12 face:3 key:1
NormalNote beat:21 face:3 key:1
NormalNote beat:21.5 face:2 key:1
NormalNote beat:21.5 face:3 key:2
NormalNote beat:21 face:2 key:2
NormalNote beat:48.5 face:3 key:2
NormalNote beat:47.25 face:3 key:1
NormalNote beat:47.75 face:2 key:1
NormalNote beat:49 face:3 key:1
NormalNote beat:49.5 face:3 key:2
NormalNote beat:49.5 face:2 key:1
NormalNote beat:50 face:2 key:1
NormalNote beat:50.5 face:3 key:2
NormalNote beat:50.5 face:3 key:1
NormalNote beat:51 face:2 key:1
NormalNote beat:51.5 face:2 key:2
NormalNote beat:52.5 face:3 key:2
NormalNote beat:57 face:3 key:2
LongNote beat:80 face:3 key:1 end:92
LongNote beat:80 face:3 key:2 end:96
NormalNote beat:137 face:2 key:2
NormalNote beat:136.5 face:2 key:1
NormalNote beat:137.5 face:2 key:1
NormalNote beat:138.5 face:2 key:1
NormalNote beat:139.5 face:2 key:1
NormalNote beat:168.5 face:2 key:2
NormalNote beat:169 face:2 key:1
NormalNote beat:169.5 face:2 key:2
NormalNote beat:170 face:3 key:1
NormalNote beat:170.5 face:3 key:2
NormalNote beat:171 face:2 key:2
NormalNote beat:171.5 face:3 key:2
NormalNote beat:179 face:2 key:2
NormalNote beat:179.5 face:2 key:1
NormalNote beat:62 face:3 key:2
NormalNote beat:62.5 face:3 key:1
NormalNote beat:65 face:3 key:1
NormalNote beat:184 face:2 key:1
NormalNote beat:184.5 face:2 key:2
NormalNote beat:185 face:3 key:1
NormalNote beat:185.5 face:3 key:2
NormalNote beat:188 face:2 key:1
NormalNote beat:188.5 face:2 key:2
NormalNote beat:189 face:3 key:1
NormalNote beat:189.5 face:3 key:2
NormalNote beat:190 face:3 key:2
NormalNote beat:190.5 face:3 key:1
NormalNote beat:191 face:2 key:2
NormalNote beat:191.5 face:2 key:1
SlideNote beat:188.125 face:3 pos:1.866666
SlideNote beat:188.25 face:3 pos:0.4972973
SlideNote beat:188.375 face:3 pos:-0.7425145
SlideNote beat:188.5 face:3 pos:-2.348388
SlideNote beat:188.625 face:4 pos:-3.072464
SlideNote beat:188.75 face:4 pos:-1.748149
SlideNote beat:188.875 face:4 pos:-0.7213107
SlideNote beat:189 face:4 pos:0.5217379
SlideNote beat:189.125 face:4 pos:1.735847
SlideNote beat:189.25 face:4 pos:2.76923
LongNote beat:192 face:2 key:2 end:196
LongNote beat:196 face:2 key:1 end:200
LongNote beat:206 face:2 key:1 end:208
LongNote beat:212 face:2 key:1 end:216
LongNote beat:200 face:1 key:2 end:206
SlideNote beat:189.375 face:1 pos:-2.874525
SlideNote beat:189.5 face:1 pos:-1.67401
SlideNote beat:189.625 face:1 pos:-0.2536583
SlideNote beat:189.75 face:1 pos:1.318918
SlideNote beat:189.875 face:1 pos:2.780488
SlideNote beat:190 face:1 pos:1.383887
SlideNote beat:190.125 face:1 pos:-0.3516489
SlideNote beat:190.25 face:1 pos:-1.889569
SlideNote beat:190.375 face:4 pos:2.799999
SlideNote beat:190.5 face:4 pos:1.582732
SlideNote beat:190.625 face:4 pos:-0.08888984
SlideNote beat:190.75 face:4 pos:-1.806453
SlideNote beat:190.875 face:4 pos:-2.905983
SlideNote beat:191 face:3 pos:-3.126437
SlideNote beat:191.125 face:3 pos:-1.3
SlideNote beat:191.25 face:3 pos:0.353741
SlideNote beat:191.375 face:3 pos:2.114287
NormalNote beat:192.5 face:4 key:1
NormalNote beat:193 face:3 key:2
NormalNote beat:193.5 face:3 key:1
NormalNote beat:194.5 face:3 key:1
NormalNote beat:195 face:3 key:2
NormalNote beat:195.5 face:3 key:1
NormalNote beat:198.5 face:2 key:2
NormalNote beat:199 face:3 key:1
NormalNote beat:224 face:3 key:2
NormalNote beat:225 face:3 key:2
NormalNote beat:228 face:2 key:1
NormalNote beat:229 face:2 key:1
NormalNote beat:233 face:2 key:2
NormalNote beat:240 face:2 key:2
NormalNote beat:240 face:3 key:2
NormalNote beat:241 face:2 key:2
NormalNote beat:243 face:2 key:2
NormalNote beat:244 face:3 key:2
NormalNote beat:244 face:2 key:2
NormalNote beat:245 face:3 key:2
NormalNote beat:245 face:2 key:2
NormalNote beat:246 face:3 key:2
NormalNote beat:246 face:2 key:2
NormalNote beat:247 face:3 key:2
NormalNote beat:247.5 face:3 key:2
NormalNote beat:247.5 face:2 key:2
NormalNote beat:138 face:2 key:2
NormalNote beat:140.5 face:2 key:1
NormalNote beat:152.5 face:3 key:1
SlideNote beat:152.75 face:3 pos:0.04301071
SlideNote beat:153 face:3 pos:-1.159421
SlideNote beat:153.25 face:3 pos:-2.4375
NormalNote beat:153 face:2 key:2
SlideNote beat:153.25 face:2 pos:-0.4210523
SlideNote beat:153.5 face:2 pos:0.7999988
SlideNote beat:153.75 face:2 pos:2.222221
