exrave chart file v1

Title HappyEnd
Artist Various Artist

== BPMData ==
InitalBPM 188
Offset 0


== NoteData ==
NormalNote beat:1 face:2 key:1
NormalNote beat:1.5 face:2 key:2
NormalNote beat:2.5 face:3 key:2
NormalNote beat:3.5 face:2 key:1
NormalNote beat:4 face:2 key:2
NormalNote beat:4 face:3 key:1
NormalNote beat:6.5 face:3 key:2
NormalNote beat:7 face:3 key:1
NormalNote beat:7.5 face:2 key:2
NormalNote beat:8 face:1 key:2
NormalNote beat:11.5 face:4 key:1
NormalNote beat:12.5 face:2 key:1
NormalNote beat:13.5 face:3 key:2
NormalNote beat:15 face:2 key:1
NormalNote beat:15.5 face:2 key:2
LongNote beat:16 face:4 key:1 end:18
LongNote beat:20 face:4 key:1 end:22
LongNote beat:24 face:4 key:1 end:26
LongNote beat:28 face:4 key:1 end:30
NormalNote beat:16 face:1 key:2
NormalNote beat:17 face:2 key:1
NormalNote beat:17.5 face:2 key:2
NormalNote beat:18.5 face:2 key:2
NormalNote beat:20 face:1 key:2
NormalNote beat:21.5 face:2 key:2
NormalNote beat:23 face:3 key:1
NormalNote beat:23.5 face:2 key:2
NormalNote beat:24 face:2 key:1
NormalNote beat:25.5 face:1 key:2
NormalNote beat:28 face:2 key:2
NormalNote beat:30 face:1 key:1
SlideNote beat:14 face:3 pos:-2.5
SlideNote beat:14.25 face:3 pos:-2.166666
SlideNote beat:14.5 face:3 pos:-1.833333
SlideNote beat:14.75 face:3 pos:-1.5
SlideNote beat:15 face:3 pos:-1.5
SlideNote beat:15.25 face:3 pos:-1.833333
SlideNote beat:15.5 face:3 pos:-2.166666
SlideNote beat:15.75 face:3 pos:-2.5
SlideNote beat:19 face:3 pos:2.763158
SlideNote beat:19.75 face:3 pos:-2.821428
SlideNote beat:19.25 face:3 pos:0.9705886
SlideNote beat:19.5 face:3 pos:-0.8780485
SlideNote beat:23 face:3 pos:-2.4
SlideNote beat:23.25 face:3 pos:-2.4
SlideNote beat:23.5 face:3 pos:-2.4
SlideNote beat:23.75 face:3 pos:-2.4
NormalNote beat:10 face:3 key:1
NormalNote beat:10.5 face:2 key:2
NormalNote beat:14.5 face:2 key:2
NormalNote beat:11 face:2 key:1
SlideNote beat:32 face:1 pos:2.728973
SlideNote beat:33 face:1 pos:1.15
SlideNote beat:35 face:1 pos:1.15
SlideNote beat:37 face:1 pos:1.15
NormalNote beat:43 face:3 key:1
NormalNote beat:43.5 face:2 key:2
NormalNote beat:44 face:3 key:1
NormalNote beat:44.5 face:2 key:2
NormalNote beat:45 face:3 key:1
NormalNote beat:45.5 face:3 key:2
NormalNote beat:46 face:3 key:1
SlideNote beat:39.75 face:1 pos:-3
SlideNote beat:40 face:1 pos:-3
SlideNote beat:40.25 face:1 pos:-3
SlideNote beat:40.5 face:1 pos:-3
SlideNote beat:40.75 face:1 pos:-3
SlideNote beat:41 face:1 pos:-3
SlideNote beat:41.25 face:1 pos:-3
SlideNote beat:41.5 face:1 pos:-3
SlideNote beat:41.75 face:1 pos:-3
LongNote beat:46.5 face:2 key:2 end:47
NormalNote beat:48 face:3 key:2
NormalNote beat:48.5 face:3 key:1
NormalNote beat:49 face:2 key:2
NormalNote beat:49.5 face:3 key:1
SlideNote beat:54 face:2 pos:3.034919
SlideNote beat:54.5 face:2 pos:1.273407
SlideNote beat:55 face:2 pos:-0.5818188
SlideNote beat:55.5 face:2 pos:-3.011767
NormalNote beat:56 face:3 key:2
NormalNote beat:56.5 face:3 key:1
NormalNote beat:57 face:2 key:2
NormalNote beat:57.5 face:3 key:1
NormalNote beat:58.5 face:2 key:1
NormalNote beat:59 face:2 key:2
NormalNote beat:61 face:4 key:1
NormalNote beat:64 face:3 key:2
NormalNote beat:64.5 face:3 key:1
NormalNote beat:65 face:2 key:2
NormalNote beat:65.5 face:3 key:1
NormalNote beat:66.5 face:2 key:2
NormalNote beat:67 face:2 key:1
NormalNote beat:67.5 face:2 key:2
NormalNote beat:70 face:2 key:2
NormalNote beat:70.5 face:3 key:1
NormalNote beat:71 face:2 key:2
NormalNote beat:71.5 face:3 key:1
NormalNote beat:72 face:3 key:2
NormalNote beat:72.5 face:3 key:1
NormalNote beat:73 face:2 key:2
NormalNote beat:73.5 face:2 key:1
NormalNote beat:74.5 face:2 key:2
NormalNote beat:75 face:3 key:1
NormalNote beat:76 face:2 key:2
LongNote beat:78 face:4 key:2 end:79
LongNote beat:78 face:1 key:1 end:79
NormalNote beat:80 face:3 key:2
NormalNote beat:80.5 face:3 key:1
NormalNote beat:81 face:2 key:2
NormalNote beat:81.5 face:3 key:1
NormalNote beat:82.5 face:3 key:1
NormalNote beat:83 face:2 key:2
NormalNote beat:83.5 face:2 key:1
NormalNote beat:86 face:1 key:1
NormalNote beat:86.5 face:4 key:1
NormalNote beat:87 face:3 key:1
NormalNote beat:87.5 face:2 key:1
NormalNote beat:59.5 face:3 key:1
NormalNote beat:50.5 face:2 key:2
NormalNote beat:51 face:2 key:1
NormalNote beat:51.5 face:2 key:2
NormalNote beat:88 face:3 key:1
NormalNote beat:88.5 face:3 key:2
NormalNote beat:89 face:2 key:1
NormalNote beat:89.5 face:2 key:2
NormalNote beat:90.5 face:3 key:1
NormalNote beat:91 face:2 key:2
NormalNote beat:94 face:4 key:2
NormalNote beat:94.25 face:1 key:1
NormalNote beat:94.5 face:4 key:2
NormalNote beat:94.75 face:1 key:1
NormalNote beat:95.25 face:1 key:1
NormalNote beat:95 face:4 key:2
NormalNote beat:95.5 face:4 key:2
NormalNote beat:95.75 face:1 key:1
NormalNote beat:96 face:4 key:2
SlideNote beat:97.5 face:2 pos:-1.171271
SlideNote beat:97.75 face:2 pos:0.8641961
SlideNote beat:98 face:2 pos:2.937061
NormalNote beat:98.5 face:2 key:2
NormalNote beat:99 face:3 key:1
NormalNote beat:99.5 face:3 key:2
NormalNote beat:100 face:1 key:2
NormalNote beat:101 face:3 key:2
NormalNote beat:103 face:2 key:1
SlideNote beat:103.25 face:2 pos:2.988847
NormalNote beat:103.5 face:3 key:1
SlideNote beat:103.75 face:3 pos:1.125541
NormalNote beat:104 face:3 key:2
NormalNote beat:104.5 face:3 key:1
NormalNote beat:104.75 face:2 key:2
NormalNote beat:105 face:2 key:1
SlideNote beat:105.25 face:2 pos:-0.886364
SlideNote beat:105.5 face:2 pos:-2.904459
SlideNote beat:105.75 face:3 pos:2.895623
SlideNote beat:106.5 face:3 pos:-2.933334
SlideNote beat:106 face:3 pos:1.248227
SlideNote beat:106.25 face:3 pos:-0.5760001
SlideNote beat:106.75 face:4 pos:-2.938776
SlideNote beat:107 face:4 pos:-1.14706
NormalNote beat:108.5 face:4 key:2
SlideNote beat:108.75 face:4 pos:0.3574455
NormalNote beat:109 face:1 key:2
SlideNote beat:110 face:3 pos:-0.9801323
SlideNote beat:110.25 face:2 pos:-1.652176
SlideNote beat:110.5 face:2 pos:2.380164
SlideNote beat:111 face:3 pos:2.352941
SlideNote beat:111.25 face:3 pos:-0.2644628
SlideNote beat:111.5 face:3 pos:-1.883408
SlideNote beat:111.75 face:2 pos:0.8846145
NormalNote beat:101.25 face:3 key:1
NormalNote beat:101.5 face:2 key:2
NormalNote beat:102 face:2 key:1
NormalNote beat:102.25 face:2 key:2
NormalNote beat:102.5 face:3 key:1
NormalNote beat:108 face:1 key:1
NormalNote beat:109.5 face:3 key:1
LongNote beat:112 face:4 key:1 end:114
LongNote beat:114 face:1 key:1 end:115
SlideNote beat:116 face:3 pos:-0.9937888
SlideNote beat:117 face:3 pos:-2.5
SlideNote beat:117.25 face:3 pos:-2.5
SlideNote beat:117.5 face:3 pos:-2.5
SlideNote beat:117.75 face:3 pos:-2.5
SlideNote beat:118 face:3 pos:-2.5
SlideNote beat:118.5 face:3 pos:-2.5
SlideNote beat:118.75 face:3 pos:-2.5
SlideNote beat:119 face:3 pos:-2.5
SlideNote beat:119.5 face:3 pos:-2.5
SlideNote beat:117 face:2 pos:1.5
SlideNote beat:117.25 face:2 pos:1.5
SlideNote beat:117.5 face:2 pos:1.5
SlideNote beat:117.75 face:2 pos:1.5
SlideNote beat:118 face:2 pos:1.5
SlideNote beat:118.5 face:2 pos:1.5
SlideNote beat:118.75 face:2 pos:1.5
SlideNote beat:119 face:2 pos:1.5
SlideNote beat:119.5 face:2 pos:1.5
SlideNote beat:39 face:1 pos:3
SlideNote beat:39.25 face:1 pos:1
SlideNote beat:39.5 face:1 pos:-1
LongNote beat:120 face:4 key:1 end:122
LongNote beat:122 face:1 key:2 end:123
NormalNote beat:124 face:3 key:2
NormalNote beat:125 face:2 key:1
NormalNote beat:125.5 face:2 key:1
NormalNote beat:126 face:3 key:2
NormalNote beat:126.25 face:3 key:1
NormalNote beat:126.5 face:2 key:2
NormalNote beat:126.75 face:2 key:1
NormalNote beat:127 face:3 key:2
NormalNote beat:127.25 face:3 key:1
NormalNote beat:127.5 face:2 key:2
NormalNote beat:127.75 face:2 key:1
NormalNote beat:128 face:4 key:1
NormalNote beat:129.5 face:1 key:1
NormalNote beat:131 face:1 key:1
NormalNote beat:132 face:4 key:2
NormalNote beat:133.5 face:4 key:1
NormalNote beat:135 face:4 key:2
NormalNote beat:136 face:1 key:2
NormalNote beat:136.5 face:2 key:1
NormalNote beat:137.5 face:4 key:1
NormalNote beat:138 face:3 key:2
NormalNote beat:139 face:2 key:1
NormalNote beat:139.5 face:1 key:2
NormalNote beat:140.5 face:3 key:2
NormalNote beat:141 face:4 key:1
NormalNote beat:142 face:3 key:1
NormalNote beat:142 face:2 key:2
NormalNote beat:142.5 face:3 key:1
NormalNote beat:142.5 face:2 key:2
NormalNote beat:143.5 face:3 key:2
NormalNote beat:143.5 face:2 key:1
SlideNote beat:144 face:3 pos:0.8539329
SlideNote beat:144 face:2 pos:-0.8592608
NormalNote beat:160 face:2 key:2
NormalNote beat:160 face:3 key:1
NormalNote beat:164 face:4 key:2
NormalNote beat:164 face:1 key:1
NormalNote beat:168 face:3 key:2
NormalNote beat:172 face:2 key:1
NormalNote beat:172.5 face:3 key:1
NormalNote beat:173 face:2 key:2
NormalNote beat:173.5 face:3 key:2
SlideNote beat:174.5 face:2 pos:-1.855319
SlideNote beat:175 face:2 pos:0.3943642
SlideNote beat:175.5 face:2 pos:2.69565
NormalNote beat:41 face:2 key:2
NormalNote beat:42 face:3 key:1
NormalNote beat:176 face:3 key:2
NormalNote beat:177 face:3 key:1
NormalNote beat:177.5 face:2 key:2
NormalNote beat:178 face:2 key:1
NormalNote beat:179 face:2 key:2
NormalNote beat:180 face:3 key:1
NormalNote beat:181 face:2 key:2
NormalNote beat:181.5 face:2 key:1
NormalNote beat:182 face:3 key:2
NormalNote beat:183 face:3 key:1
NormalNote beat:184 face:2 key:1
NormalNote beat:184.5 face:2 key:2
NormalNote beat:185 face:2 key:1
NormalNote beat:185.5 face:2 key:2
NormalNote beat:186 face:3 key:2
NormalNote beat:186.5 face:3 key:1
NormalNote beat:187 face:3 key:2
NormalNote beat:188 face:1 key:2
NormalNote beat:188.5 face:1 key:2
NormalNote beat:189 face:1 key:2
NormalNote beat:189.5 face:1 key:2
NormalNote beat:187.5 face:2 key:2
SlideNote beat:190.5 face:2 pos:2.415093
SlideNote beat:191 face:2 pos:-0.2553196
SlideNote beat:191.5 face:2 pos:-2.48
NormalNote beat:192 face:3 key:2
NormalNote beat:194 face:2 key:1
NormalNote beat:196 face:3 key:1
NormalNote beat:198 face:2 key:2
SlideNote beat:192.5 face:3 pos:-0.5497626
SlideNote beat:193 face:3 pos:1.15847
SlideNote beat:194.5 face:2 pos:0.5882334
SlideNote beat:195 face:2 pos:-1.714287
SlideNote beat:196.5 face:3 pos:-0.5673759
SlideNote beat:197 face:3 pos:1.111112
SlideNote beat:197.5 face:3 pos:2.933333
SlideNote beat:193.5 face:3 pos:-2.780953
SlideNote beat:198.5 face:2 pos:-1.301776
SlideNote beat:199 face:2 pos:0.5283008
NormalNote beat:199.5 face:3 key:2
NormalNote beat:200 face:3 key:1
NormalNote beat:201 face:2 key:2
NormalNote beat:202 face:4 key:2
NormalNote beat:203 face:2 key:2
NormalNote beat:204 face:2 key:1
NormalNote beat:204.5 face:2 key:2
NormalNote beat:205 face:3 key:1
NormalNote beat:205.5 face:2 key:1
NormalNote beat:206 face:2 key:2
NormalNote beat:206.5 face:3 key:1
NormalNote beat:207 face:3 key:2
NormalNote beat:207.5 face:3 key:1
NormalNote beat:208 face:1 key:1
NormalNote beat:208.5 face:4 key:2
NormalNote beat:209 face:1 key:1
NormalNote beat:209.5 face:4 key:2
NormalNote beat:210 face:1 key:1
NormalNote beat:210.5 face:4 key:2
NormalNote beat:211 face:4 key:2
NormalNote beat:211.5 face:2 key:1
NormalNote beat:212 face:3 key:2
NormalNote beat:212.5 face:3 key:1
NormalNote beat:213 face:2 key:2
NormalNote beat:213.5 face:3 key:2
NormalNote beat:214 face:3 key:1
NormalNote beat:214.5 face:2 key:2
NormalNote beat:215 face:2 key:1
NormalNote beat:215.5 face:1 key:2
NormalNote beat:216 face:3 key:2
NormalNote beat:216.5 face:2 key:1
NormalNote beat:217 face:3 key:2
NormalNote beat:217.5 face:1 key:1
LongNote beat:218 face:3 key:2 end:218.5
LongNote beat:218.5 face:2 key:2 end:219
LongNote beat:219 face:1 key:2 end:219.5
LongNote beat:220 face:4 key:1 end:222
NormalNote beat:222 face:2 key:2
NormalNote beat:222.25 face:2 key:1
NormalNote beat:222.5 face:2 key:2
NormalNote beat:223 face:3 key:1
NormalNote beat:223.5 face:3 key:2
NormalNote beat:223.75 face:3 key:1
NormalNote beat:224 face:2 key:2
LongNote beat:224 face:2 key:1 end:224.5
LongNote beat:225.5 face:4 key:2 end:226
NormalNote beat:226 face:2 key:2
NormalNote beat:226.25 face:2 key:1
NormalNote beat:226.5 face:2 key:2
NormalNote beat:227 face:3 key:1
NormalNote beat:227.5 face:2 key:2
LongNote beat:228 face:1 key:2 end:228.5
SlideNote beat:230 face:2 pos:3.002651
SlideNote beat:230.25 face:2 pos:1.191221
SlideNote beat:230.5 face:2 pos:-0.6713293
SlideNote beat:231 face:3 pos:-2.968553
SlideNote beat:231.25 face:3 pos:-1.021898
SlideNote beat:231.5 face:3 pos:1.024001
SlideNote beat:231.75 face:3 pos:-1.014085
LongNote beat:232 face:2 key:1 end:233
SlideNote beat:233 face:3 pos:-1.8
SlideNote beat:233.25 face:3 pos:0.2894733
SlideNote beat:233.5 face:3 pos:1.904762
SlideNote beat:233.75 face:3 pos:-0.9105691
SlideNote beat:234 face:2 pos:0.07379866
SlideNote beat:234.25 face:3 pos:1.603239
SlideNote beat:234.5 face:2 pos:-1.828056
SlideNote beat:234.75 face:2 pos:0.4999981
SlideNote beat:235 face:3 pos:1.621623
SlideNote beat:235.25 face:3 pos:0.01731563
SlideNote beat:235.5 face:2 pos:-1.395349
SlideNote beat:235.75 face:2 pos:1.083743
NormalNote beat:236 face:3 key:2
NormalNote beat:238 face:2 key:2
NormalNote beat:238.25 face:2 key:1
NormalNote beat:238.5 face:2 key:2
NormalNote beat:238.75 face:3 key:1
NormalNote beat:239 face:3 key:2
NormalNote beat:240 face:3 key:1
NormalNote beat:242 face:3 key:1
NormalNote beat:242.25 face:3 key:2
NormalNote beat:242.5 face:3 key:1
NormalNote beat:242.75 face:2 key:2
NormalNote beat:243 face:2 key:1
LongNote beat:244 face:4 key:2 end:244.5
NormalNote beat:245.5 face:2 key:1
NormalNote beat:246 face:2 key:2
NormalNote beat:246.5 face:3 key:1
NormalNote beat:247 face:3 key:2
NormalNote beat:247.5 face:2 key:2
NormalNote beat:248 face:3 key:1
LongNote beat:248.5 face:1 key:2 end:250
LongNote beat:250 face:1 key:1 end:252
NormalNote beat:252 face:3 key:2
SlideNote beat:254.25 face:3 pos:-1
SlideNote beat:254.5 face:3 pos:2.380165
SlideNote beat:254 face:3 pos:2.343042
SlideNote beat:254.75 face:3 pos:-0.972973
NormalNote beat:255 face:2 key:1
NormalNote beat:255.5 face:2 key:2
NormalNote beat:256 face:3 key:1
SlideNote beat:257 face:2 pos:-0.873315
SlideNote beat:257.25 face:2 pos:1.36677
SlideNote beat:257.5 face:2 pos:-2.429091
SlideNote beat:257.75 face:3 pos:2.039215
SlideNote beat:258 face:2 pos:2.382748
SlideNote beat:258.25 face:2 pos:0.6037722
SlideNote beat:258.5 face:2 pos:-1.061226
SlideNote beat:258.75 face:2 pos:-2.462747
SlideNote beat:259 face:3 pos:2.786886
SlideNote beat:259.25 face:3 pos:1.523809
SlideNote beat:259.5 face:3 pos:0.2488039
SlideNote beat:259.75 face:3 pos:-1.361256
NormalNote beat:260 face:2 key:1
NormalNote beat:261 face:3 key:2
NormalNote beat:261.25 face:3 key:1
NormalNote beat:261.5 face:2 key:2
NormalNote beat:262 face:2 key:1
NormalNote beat:262.25 face:2 key:2
NormalNote beat:262.5 face:3 key:1
NormalNote beat:263 face:2 key:1
NormalNote beat:263.5 face:3 key:1
NormalNote beat:264 face:3 key:2
NormalNote beat:268 face:3 key:2
SlideNote beat:266 face:2 pos:-1.841644
SlideNote beat:266.25 face:2 pos:1.024998
SlideNote beat:266.5 face:2 pos:-1.117647
SlideNote beat:266.75 face:2 pos:1.984495
SlideNote beat:267 face:2 pos:0.5065496
SlideNote beat:267.25 face:2 pos:3.152072
SlideNote beat:267.5 face:2 pos:1.754838
SlideNote beat:269 face:2 pos:-2.280375
SlideNote beat:269.25 face:2 pos:-0.6222222
SlideNote beat:269.5 face:2 pos:1.501576
NormalNote beat:270.5 face:3 key:2
NormalNote beat:270.75 face:3 key:1
NormalNote beat:271 face:2 key:2
NormalNote beat:271.25 face:3 key:2
NormalNote beat:272 face:2 key:1
SlideNote beat:273 face:2 pos:-1.448102
SlideNote beat:273.25 face:3 pos:1.453521
SlideNote beat:273.5 face:3 pos:-0.9806459
SlideNote beat:273.75 face:2 pos:0.04395401
SlideNote beat:274 face:2 pos:2.62948
SlideNote beat:274.25 face:2 pos:0.5172392
SlideNote beat:274.5 face:3 pos:2.235294
SlideNote beat:274.75 face:3 pos:0.2222223
SlideNote beat:275 face:3 pos:2.89109
SlideNote beat:275.5 face:3 pos:2.853583
SlideNote beat:275.25 face:2 pos:-2.840912
SlideNote beat:275.5 face:2 pos:-2.769233
LongNote beat:276 face:4 key:1 end:277
